Company;Currency;Year;Fixed Assets;FxAInt;FxATan;FxAOth;CurrAss;CurrInv;CurrARec;CurrAssOth;Cash;TAssets;Equity;Capital;EquOht;NCLiabs;NCLtDebt;NCLiabOth;Provisions;CLiabs;CLoans;CAPay;CLiaboth;TEaLiab;Turnover;Sales;CoS;OthOpEx;Ebit;FinInc;FinExp;PBT;Tax;ExtOrdRev;ExtOrdExp;NetInc;Exp;MatCost;SalWage;Dep;RaD;HdCnt;ExRate;II;Cty;FYE;BvDID
SOLVIVA AG;EUR/CHF;2013;26132,8545096441;1653,9678378239;24184,7756464172;294,1110254031;4270,4660613279;16,9992268554;1403,9409318258;2849,5259026467;2209,7368191787;30403,320570972;7248,7468736021;3042,0482469855;4206,6986266166;20528,9658403356;20085,9285739168;443,0372664188;443,0372664188;2625,6078570343;0;418,4737902928;2207,1340667415;30403,320570972;12865,4052970556;12865,4052970556;712,6661517095;11703,7643499299;448,9747954162;386,7527449645;402,1252515466;433,602288834;103,7034174195;99,0672646407;304,0340190699;124,9321169854;n.a.;n.a.;8774,8544979488;1185,2283910877;n.a.;n.a.;0,81336; U;CH;31.12.;CH02030029383
SOLVIVA AG;EUR/CHF;2012;20803,9438907676;1801,1149101878;18953,7121751142;49,1168054656;5445,7637898291;17,2818389601;1157,3870809797;4271,0948698894;3671,2744879914;26249,7076805967;7335,024347536;3092,6222916139;4242,4020559221;16570,0587219885;9480,204960657;7089,8537613315;7089,8537613315;2344,6246110722;0;580,5540255453;1764,0705855269;26249,7076805967;12190,9730306546;12190,9730306546;614,8696387915;11397,9929558818;178,1104359813;0;27,1217376982;150,9886982831;47,3803527471;32,4137840783;0;136,0221296143;n.a.;n.a.;8343,7380005238;1344,7585981262;n.a.;n.a.;0,82688; U;CH;31.12.;CH02030029383
SOLVIVA AG;EUR/CHF;2011;10282,8866752135;1908,199256727;8328,7710401769;45,9163783096;3319,7787938478;16,428042329;836,1052143353;2467,2455371835;2038,6379128194;13602,6654690613;7241,5631988425;3072,1260557379;4169,4371431046;4798,0561828245;4349,3242066073;448,7319762171;448,7319762171;1563,0460873944;0;394,2730158964;1168,7730714979;13602,6654690613;10544,1746884565;10544,1746884565;557,9784577051;9978,4750508568;7,7211798946;0;12,8960132283;-5,1748333336;15,1959391543;135,859910061;0;115,489137573;n.a.;n.a.;7677,8920031012;606,7697434223;n.a.;n.a.;0,8214; U;CH;31.12.;CH02030029383
SMS MEVAC GMBH;;2013;5547,452;23,7295;25,97669;5497,74581;48497,52059;25637,40832;3156,70847;19703,4038;45,35902;54044,97259;626,46811;600;26,46811;18732,46507;4309,08936;14423,37571;14423,37571;34686,03941;0;1096,33486;33589,70455;54044,97259;19815,12837;19358,11771;9648,55409;7212,27224;2954,30204;536,87006;474,9223;3016,2498;42,75108;n.a.;2947,03061;26,46811;n.a.;6546;8114;15,82039;n.a.;73;0; D;DE;31.12.;DE5110148254
SMS MEVAC GMBH;;2012;5476,31971;2,89043;35,16363;5438,26565;32939,46313;0;5553,7173;27385,74583;21,43076;38415,78284;600;600;0;37815,78284;17791,71114;20024,0717;20024,0717;0;n.a.;n.a.;n.a.;38415,78284;35028,8878;34871,31288;22840,20833;7034,1698;5154,50967;-207;9,22769;4938,28198;15,99996;n.a.;-4922,28202;9844,56404;n.a.;n.a.;9111;24,77237;n.a.;75;0; D;DE;31.12.;DE5110148254
SMS MEVAC GMBH;;2011;46,64492;5,50093;36,79929;4,3447;51510,20598;0;3956,18484;47554,02114;24,07706;51556,8509;600;600;0;50956,8509;32203,03662;18753,81428;18753,81428;0;n.a.;n.a.;n.a.;51556,8509;44132,16941;42176,46414;26236,34793;6563,11488;11332,7066;663,39293;8,07834;11988,02119;n.a.;n.a.;-11988,02119;23976,04238;n.a.;n.a.;9214;n.a.;n.a.;72;0; D;DE;31.12.;DE5110148254
VITA 34 AG;;2013;25873;21117;4756;0;9755;550;3939;5266;3097;35628;22354;2591;19763;1410;1150;260;260;11864;140;1127;10597;35628;14943;13554;5491;7983;1469;79;205;1343;555;n.a.;n.a.;788;n.a.;n.a.;4738;1189;155;93;0;A+;DE;31.12.;DE3150295822
VITA 34 AG;;2012;25960;21423;4537;0;10668;633;4096;5939;3785;36628;21573;2591;18982;1862;1289;573;573;13193;1791;1168;10234;36628;14350;13603;5559;9533;-742;91;204;-855;-246;n.a.;n.a.;-609;n.a.;n.a.;5294;1156;429;104;0;A+;DE;31.12.;DE3150295822
VITA 34 AG;;2011;24316;20074;4162;80;10425;546;4414;5465;3377;34741;20009;2211;17798;2977;2750;227;227;11755;1374;600;9781;34741;16605;16001;6539;10401;-335;96;257;-496;-1687;n.a.;n.a.;1191;n.a.;n.a.;5811;973;297;127;0;A+;DE;31.12.;DE3150295822
4SC AG;;2013;11434;10651;602;181;6271;23;346;5902;3899;17705;11282;50372;-39090;2836;2836;0;0;3587;0;675;2912;17705;4938;4904;1474;14056;-10592;77;10;-10525;n.a.;n.a.;n.a.;-10525;n.a.;n.a.;5826;1873;10243;81;0;B+;DE;31.12.;DE8330262371
4SC AG;;2012;13164;12223;787;154;15903;22;3084;12797;6076;29067;21813;50372;-28559;5242;3575;1667;1667;2012;0;584;1428;29067;4383;4353;327;17422;-13366;170;11;-13207;10;n.a.;n.a.;-13217;n.a.;n.a.;6118;1714;12909;90;0;B+;DE;31.12.;DE8330262371
4SC AG;;2011;14903;13574;1065;264;16935;93;115;16727;15820;31838;23533;41968;-18435;4827;4469;358;358;3478;0;705;2773;31838;791;780;123;19461;-18793;341;32;-18484;587;n.a.;n.a.;-19071;n.a.;n.a.;6640;1392;15012;96;0;B+;DE;31.12.;DE8330262371
DET NORSKE VERITAS, DANMARK A/S;EUR/DKK;2013;1740,2011050652;0;1312,4519034891;427,7492015761;23168,3864445265;n.a.;7948,7938852229;n.a.;7041,18322419;24908,5875495917;11310,3694302114;1339,6467321518;9970,7226980596;1646,2918691414;n.a.;n.a.;1646,2918691414;11951,7922855657;n.a.;1105,4764833717;n.a.;24908,5875495917;49780,8706727422;n.a.;17619,7036446269;21820,7018319818;10340,4651961335;66,0445838951;28,1325813752;10378,3771986534;2620,349008089;n.a.;n.a.;7758,0281905644;n.a.;n.a.;21372,7239647502;447,9778672316;n.a.;192;0,13396; U;DK;31.12.;DK89832314
