Company;Currency;Year;Fixed Assets;FxAInt;FxATan;FxAOth;CurrAss;CurrInv;CurrARec;CurrAssOth;Cash;TAssets;Equity;Capital;EquOht;NCLiabs;NCLtDebt;NCLiabOth;Provisions;CLiabs;CLoans;CAPay;CLiaboth;TEaLiab;Turnover;Sales;CoS;OthOpEx;Ebit;FinInc;FinExp;PBT;Tax;ExtOrdRev;ExtOrdExp;NetInc;Exp;MatCost;SalWage;Dep;RaD;HdCnt;ExRate;II;Cty;FYE;BvDID
SOLVIVA AG;EUR/CHF;2013;26114,2230258709;1652,7886373304;24167,5330503262;293,9013382143;4267,421421903;16,9871072143;1402,9399886384;2847,4943260504;2208,1613818045;30381,6444477739;7243,5788614471;3039,8794111038;4203,6994503433;20514,32966296;20071,6082610648;442,7214018952;442,7214018952;2623,7359233668;0;418,1754383607;2205,5604850061;30381,6444477739;12856,2328742749;12856,2328742749;712,1580545999;11695,4201219585;448,6546977165;386,4770086307;401,838555346;433,2931510012;103,6294818095;98,9966343874;303,817257258;124,8430463211;n.a.;n.a.;8768,5984435583;1184,3833795515;n.a.;n.a.;0,81278; U;CH;31.12.;CH02030029383
SOLVIVA AG;EUR/CHF;2012;20803,9438907676;1801,1149101878;18953,7121751142;49,1168054656;5445,7637898291;17,2818389601;1157,3870809797;4271,0948698894;3671,2744879914;26249,7076805967;7335,024347536;3092,6222916139;4242,4020559221;16570,0587219885;9480,204960657;7089,8537613315;7089,8537613315;2344,6246110722;0;580,5540255453;1764,0705855269;26249,7076805967;12190,9730306546;12190,9730306546;614,8696387915;11397,9929558818;178,1104359813;0;27,1217376982;150,9886982831;47,3803527471;32,4137840783;0;136,0221296143;n.a.;n.a.;8343,7380005238;1344,7585981262;n.a.;n.a.;0,82688; U;CH;31.12.;CH02030029383
SOLVIVA AG;EUR/CHF;2011;10282,8866752135;1908,199256727;8328,7710401769;45,9163783096;3319,7787938478;16,428042329;836,1052143353;2467,2455371835;2038,6379128194;13602,6654690613;7241,5631988425;3072,1260557379;4169,4371431046;4798,0561828245;4349,3242066073;448,7319762171;448,7319762171;1563,0460873944;0;394,2730158964;1168,7730714979;13602,6654690613;10544,1746884565;10544,1746884565;557,9784577051;9978,4750508568;7,7211798946;0;12,8960132283;-5,1748333336;15,1959391543;135,859910061;0;115,489137573;n.a.;n.a.;7677,8920031012;606,7697434223;n.a.;n.a.;0,8214; U;CH;31.12.;CH02030029383
SOLVIVA AG;EUR/CHF;2010;10773,1093043543;1984,427996159;8399,0847299134;389,5965782819;2166,0964986544;16,6310630843;724,8437972978;1424,6216382723;1261,0165392225;12939,2058030087;6991,332878119;2976,1645474514;4015,1683306677;4931,2295662031;4563,5955401282;367,6340260748;367,6340260748;1016,6433586866;433,4421082315;415,9357260375;167,2655244176;12939,2058030087;7936,6775165972;7936,6775165972;473,7067872778;7971,0536852691;-508,0829559498;12,9706377165;36,9225515365;-532,0348697698;20,3710629167;587,3391226101;4,6948934066;30,238296517;n.a.;n.a.;6181,1852548576;667,7889062381;n.a.;n.a.;0,79574; U;CH;31.12.;CH02030029383
SOLVIVA AG;EUR/CHF;2009;9458,3589757968;2117,6948678619;6873,5829891056;467,0811188293;2536,6802383722;14,0784473371;840,8672636784;1681,7345273567;1324,4518255583;11995,0392141689;5963,6707085826;2519,368463417;3444,3022451656;4572,4641399093;3927,1458361331;645,3183037762;645,3183037762;1458,904365677;878,3873362466;360,4486684245;220,0683610059;11995,0392141689;6929,6273344857;6929,6273344857;581,392722327;6273,5312719825;74,7033401762;48,4999142713;68,3714069241;54,8318475234;15,0215012257;33,6804960217;34,6909109024;38,799931417;n.a.;n.a.;4976,2259262177;609,4822560091;n.a.;n.a.;0,67361; U;CH;31.12.;CH02030029383
VITA 34 AG;;2013;25873;21117;4756;0;9755;550;3939;5266;3097;35628;22354;2591;19763;1410;1150;260;260;11864;140;1127;10597;35628;14943;13554;5491;7983;1469;79;205;1343;555;n.a.;n.a.;788;n.a.;n.a.;4738;1189;155;93;0;A+;DE;31.12.;DE3150295822
VITA 34 AG;;2012;25960;21423;4537;0;10668;633;4096;5939;3785;36628;21573;2591;18982;1862;1289;573;573;13193;1791;1168;10234;36628;14350;13603;5559;9533;-742;91;204;-855;-246;n.a.;n.a.;-609;n.a.;n.a.;5294;1156;429;104;0;A+;DE;31.12.;DE3150295822
VITA 34 AG;;2011;24316;20074;4162;80;10425;546;4414;5465;3377;34741;20009;2211;17798;2977;2750;227;227;11755;1374;600;9781;34741;16605;16001;6539;10401;-335;96;257;-496;-1687;n.a.;n.a.;1191;n.a.;n.a.;5811;973;297;127;0;A+;DE;31.12.;DE3150295822
VITA 34 AG;;2010;24333;20441;3767;125;12355;626;4655;7074;4162;36688;19849;2211;17638;2949;2700;249;249;13890;2060;892;10938;36688;18091;16963;6140;11208;743;208;285;666;317;n.a.;n.a.;349;n.a.;n.a.;5719;944;415;125;0;A+;DE;31.12.;DE3150295822
VITA 34 AG;;2009;16215;12706;3319;190;14935;554;4139;10242;6750;31150;19769;2647;17122;2873;2315;558;558;8508;125;813;7570;31150;15651;15097;4958;10531;162;661;165;658;62;n.a.;n.a.;596;n.a.;n.a.;5340;577;70;104;0;A+;DE;31.12.;DE3150295822
