Company;Currency;Year;Fixed Assets;FxAInt;FxATan;FxAOth;CurrAss;CurrInv;CurrARec;CurrAssOth;Cash;TAssets;Equity;Capital;EquOht;NCLiabs;NCLtDebt;NCLiabOth;Provisions;CLiabs;CLoans;CAPay;CLiaboth;TEaLiab;Turnover;Sales;CoS;OthOpEx;Ebit;FinInc;FinExp;PBT;Tax;ExtOrdRev;ExtOrdExp;NetInc;Exp;MatCost;SalWage;Dep;RaD;HdCnt;ExRate;II;Cty;FYE;BvDID
BF.DIREKT AG;;2013;323,619;24,673;173,945;125,001;2133,40359;0;1056,15797;1077,24562;973,86447;2457,02259;1173,79115;375;798,79115;1283,23144;845,83144;437,4;437,4;0;n.a.;n.a.;n.a.;2457,02259;4529,50323;4488,80594;2193,30975;1521,01912;815,17436;13,05938;102,47372;725,76002;1,739;n.a.;169,21571;554,80531;n.a.;n.a.;1721;82,28498;n.a.;20;0;B+;DE;30.09.;DE7330540660
BF.DIREKT AG;;2012;258,678;44,444;89,232;125,002;2127,08044;0;1074,76508;1052,31536;816,16292;2385,75844;618,98584;375;243,98584;1766,7726;1371,3726;395,4;395,4;0;n.a.;n.a.;n.a.;2385,75844;3775,01651;3742,57317;2223,67253;1230,11551;321,22847;16,63471;81,79624;256,06694;20,8356;n.a.;n.a.;235,23134;n.a.;n.a.;1721;n.a.;n.a.;19;0;B+;DE;30.09.;DE7330540660
BF.DIREKT AG;;2011;248,018;53,663;69,353;125,002;1755,12129;0;1063,65871;691,46258;489,71965;2003,13929;383,7545;375;8,7545;1619,38479;1460,18479;159,2;159,2;0;n.a.;n.a.;n.a.;2003,13929;2850,21558;2774,60281;1382,82674;1229,65376;237,73508;12,97419;86,66854;164,04073;1,558;n.a.;5;157,48273;n.a.;n.a.;1359;76,01971;n.a.;17;0;B+;DE;30.09.;DE7330540660
PFERDEWETTEN.DE AG;;2013;2727;1922;139;666;3524;0;122;3402;2041;6251;3858;3604;254;0;0;0;0;2393;25;983;1385;6251;4338;4257;1464;1913;961;9;14;956;-85;n.a.;n.a.;1041;n.a.;31;1074;190;0;18;0; D;DE;31.12.;DE2151335998
PFERDEWETTEN.DE AG;;2012;2489;1746;163;580;1963;0;80;1883;1508;4452;2779;3604;-825;0;0;0;0;1673;46;896;731;4452;4345;4301;1671;1982;692;3;24;671;-73;n.a.;n.a.;744;n.a.;33;978;195;0;18;0; D;DE;31.12.;DE2151335998
PFERDEWETTEN.DE AG;;2011;2450;1777;168;505;1142;1;74;1067;737;3592;2012;3604;-1592;0;0;0;0;1580;48;782;750;3592;4177;3983;2159;2021;-3;1;22;-24;-216;n.a.;n.a.;189;n.a.;43;842;296;0;21;0; D;DE;31.12.;DE2151335998
EGMONT ADMINISTRATION A/S;EUR/DKK;2013;2779,9009338883;0;2779,9009338883;0;6861,6705620817;n.a.;2,9472228107;n.a.;n.a.;9641,5714959699;699,9654175493;1353,0431994734;-653,077781924;93,7752712506;n.a.;n.a.;93,7752712506;8847,83080717;n.a.;2199,1640755004;n.a.;9641,5714959699;21103,053077568;n.a.;9649,2074823432;11976,843679457;-522,9980842321;2,9472228107;257,8819959392;-777,9328573606;19,290912943;n.a.;n.a.;-797,2237703036;n.a.;n.a.;11005,8677279933;970,9759514636;n.a.;134;0,13396; D;DK;31.12.;DK84853518
EGMONT ADMINISTRATION A/S;EUR/DKK;2012;2979,2610803137;0;2979,2610803137;0;8232,2427882059;n.a.;3,4821662436;n.a.;0,1339294709;11211,5038685196;1496,7957668503;1352,687656155;144,1081106953;119,1972291067;n.a.;n.a.;119,1972291067;9595,5108725625;n.a.;3345,1563948301;n.a.;11211,5038685196;20763,7555219793;n.a.;9377,339764456;11129,5390323248;256,8767251985;38,1698992083;109,5543072015;185,4923172054;44,8663727537;n.a.;n.a.;140,6259444518;n.a.;n.a.;10959,046815861;160,0457177332;n.a.;145;0,13393; D;DK;31.12.;DK84853518
EGMONT ADMINISTRATION A/S;EUR/DKK;2011;38,8742259204;0;38,8742259204;0;4871,2498874841;n.a.;60,6653144987;n.a.;n.a.;4910,1241134045;1362,0775490325;1358,5802138286;3,4973352039;163,8367030142;n.a.;n.a.;163,8367030142;3384,2098613578;n.a.;1846,8620134522;n.a.;4910,1241134045;16861,5946083225;n.a.;7748,884195844;9392,0936901144;-279,3832776358;21,9256014707;23,2707303953;-280,7284065604;-60,2617758213;n.a.;n.a.;-220,4666307391;n.a.;n.a.;9232,5613996588;159,5322904555;n.a.;135;0,13451; D;DK;31.12.;DK84853518
V. LOWENER A/S;EUR/DKK;2013;266,0538410054;5,7604809483;37,6440731735;222,6492868836;7881,6775839421;2726,181099929;2697,3786951877;2458,1177888254;9,2435624518;8147,7314249474;1527,7331333459;1205,6820589367;322,0510744093;138,7874014509;n.a.;n.a.;n.a.;6481,2108901505;n.a.;2779,4990398686;n.a.;8147,7314249474;20848,9220924788;n.a.;16652,6126686865;3865,8185749705;330,4908488219;119,0945944883;199,4733984174;250,1120448927;-18,3531602305;n.a.;n.a.;268,4652051232;n.a.;n.a.;3837,1501349025;28,668440068;n.a.;56;0,13396; D;DK;31.12.;DK21582387
