FY;Year;Comp;II;Curr;RepCurr;Xrate;FA;FA_IT;FA_TA;FA_Ot;CA;CA_Inv;CA_Rec;CA_Ot;CA_Csh;Equity;NCL;NCL_LTD;NCL_Ot;NCL_Prov;CL;CL_Loans;CL_Payables;CL_Ot;HC;Turnover;Sales;CoS;Gprofit;OpEx;EBIT;FiInc;FiEx;FinRes;PBTExt;Tax;PAT;ExtRev;ExtExp;ExtRes;NetInc;Xsales;MatCoS;SW;Dep;IntExp;RaDExp;CF;AV;EBITDA
31/12/2012;2012;CENTROVICE; U;DKK;kEUR;0,133930;7136,69971619;29,06269519;7056,34203365;51,29498736;1729,43125781;n.a.;1043,17664889;n.a.;298,39486118;3379,57626885;2963,72526169;2700,28599242;263,43926927;217,63539022;2522,96337294;n.a.;547,36974759;n.a.;147,00000000;13054,90910608;n.a.;2299,30115652;10755,60794955;10425,33787430;330,27007526;155,62604519;196,74239276;-41,11634757;289,15372769;0,00000000;289,15372769;n.a.;n.a.;n.a.;289,15372769;n.a.;n.a.;10022,34409634;402,99377796;n.a.;n.a.;692,14750564;n.a.;733,26385321
31/12/2011;2011;CENTROVICE; U;DKK;kEUR;0,134510;7317,77037552;34,30078758;7270,15281159;13,45128925;1920,84410430;n.a.;1266,43888249;n.a.;234,45597155;3103,61596769;3292,33755581;2855,70870689;436,62884892;292,56554110;2842,66095632;n.a.;463,93496609;n.a.;157,00000000;13914,01359588;n.a.;2859,34055499;11054,67304090;10922,17784183;132,49519907;65,37326573;130,07396701;-64,70070127;67,79449780;0,00000000;67,79449780;n.a.;n.a.;n.a.;67,79449780;n.a.;n.a.;10519,58075470;402,59708713;n.a.;n.a.;470,39158493;n.a.;535,09228620
31/12/2010;2010;CENTROVICE; U;DKK;kEUR;0,133260;7535,57013673;0,00000000;7522,24392997;13,32620676;2440,29498194;n.a.;1369,13448255;n.a.;405,51647172;3007,59160373;3233,60407038;2976,94132818;256,66274220;36,64706859;3734,53618250;n.a.;568,49598039;n.a.;187,00000000;15123,51226604;n.a.;2723,21035146;12400,30191457;12636,57556043;-236,27364586;66,76429587;161,91341214;-95,14911627;-331,28950006;572,22731829;-903,51681835;n.a.;n.a.;n.a.;-903,51681835;n.a.;n.a.;12074,20963515;562,36592528;n.a.;n.a.;-341,15089306;n.a.;326,09227942
31/12/2009;2009;CENTROVICE; U;DKK;kEUR;0,133750;7805,41563533;0,00000000;7780,27139031;25,14424502;3177,93832952;n.a.;1497,95502254;n.a.;423,57353182;3925,44463497;3439,54547453;3123,77120594;315,77426859;43,46744485;3618,49760133;n.a.;707,38251020;n.a.;215,00000000;16805,18290917;n.a.;3065,19046488;13739,99244429;13644,49781160;95,49463269;70,75162562;277,52291712;-206,77129150;-111,27665882;-25,94672093;-85,32993789;n.a.;n.a.;n.a.;-85,19619191;n.a.;n.a.;13041,43716904;602,92689657;n.a.;n.a.;517,73070467;n.a.;698,42152926
31/12/2012;2012;CITOXLAB SCANTOX A/S; U;DKK;kEUR;0,133930;10595,83009076;518,57491135;10077,25517941;0,00000000;4050,29505915;109,82216614;1074,38221561;2866,09067740;1,87501259;4096,09893820;5681,68994426;6758,34896088;-1076,65901662;421,47604494;4868,73805586;n.a.;431,65468473;n.a.;142,00000000;12932,09578125;n.a.;3879,66891322;9052,42686804;8948,76545756;103,66141048;90,53632233;299,06450853;-208,52818620;-104,86677572;-21,02692693;-83,83984879;n.a.;n.a.;n.a.;-83,83984879;n.a.;n.a.;7882,28508073;1066,48037683;n.a.;n.a.;982,64052804;n.a.;1170,14178731
31/12/2011;2011;CITOXLAB SCANTOX A/S; U;DKK;kEUR;0,134510;11647,47135796;601,27262929;11046,19872867;0,00000000;4020,72486847;106,39969793;808,42248367;3105,90268686;4,84246413;4198,28188652;6339,59262156;6088,72607712;250,86654443;444,29608379;5130,18720547;n.a.;784,88272749;n.a.;152,00000000;12047,51270013;n.a.;4424,26354585;7623,24915429;9316,63195745;-1693,38280316;122,00319346;301,57790489;-179,57471143;-1872,82300170;-472,27476542;-1400,54823628;n.a.;n.a.;n.a.;-1400,54823628;n.a.;n.a.;8083,14873360;1233,48322384;n.a.;n.a.;-167,06501243;n.a.;-459,89957931
31/12/2010;2010;CITOXLAB SCANTOX A/S; U;DKK;kEUR;0,133260;12567,01276114;563,69854596;12003,31421518;0,00000000;5236,79947059;123,66719874;1760,25865097;3352,87362089;3,33155169;4845,00899183;7357,13222821;6441,75508585;915,37714236;933,23425942;5601,67101168;n.a.;655,38284847;n.a.;176,00000000;15242,38203034;n.a.;3285,84280088;11956,53922946;13009,17630145;-1052,63707199;153,11811568;363,13913422;-210,02101854;-1262,65809054;-313,43238300;-949,22570753;n.a.;n.a.;n.a.;-949,22570753;n.a.;n.a.;8698,01515243;1253,72953201;n.a.;n.a.;304,50382447;n.a.;201,09246001
31/12/2009;2009;CITOXLAB SCANTOX A/S; U;DKK;kEUR;0,133750;13371,78974991;0,00000000;13371,78974991;0,00000000;6633,26583019;176,54469909;2513,48828024;3943,23285086;9,36221889;5815,27539109;8189,53410182;6683,55432023;1505,97978159;1251,19368178;6000,24608718;n.a.;584,60369674;n.a.;174,00000000;13730,22898744;n.a.;2611,65783261;11118,57115484;11911,41734891;-792,84619408;262,00838296;692,40295997;-430,39457701;-1223,24077109;-303,20214608;-920,03862501;n.a.;n.a.;n.a.;-920,03862501;n.a.;n.a.;8552,25321085;1210,80239456;n.a.;n.a.;290,76376955;n.a.;417,95620049
31/12/2012;2012;ARTELIA DENMARK APS;A-;DKK;kEUR;0,133930;8,16969773;0,00000000;8,16969773;0,00000000;1420,85775685;n.a.;1055,23030127;n.a.;231,96584361;270,40360176;0,66964735;n.a.;n.a.;0,66964735;1157,68634652;n.a.;975,27440714;n.a.;4,00000000;7668,39971569;n.a.;7116,34243661;552,05727908;286,20727933;265,84999975;1,33929471;4,15181360;-2,81251889;263,03748086;67,09866492;195,93881594;n.a.;n.a.;n.a.;195,93881594;n.a.;n.a.;283,66261938;2,54465995;n.a.;n.a.;198,48347588;n.a.;268,39465970
31/12/2011;2011;ARTELIA DENMARK APS;A-;DKK;kEUR;0,134510;9,55041536;0,00000000;9,55041536;0,00000000;3427,79203851;n.a.;2932,78459427;n.a.;332,65038305;74,78916821;184,55168845;n.a.;n.a.;0,53805157;3178,00159722;n.a.;2838,89459533;n.a.;2,00000000;10176,57287893;n.a.;9574,62768518;601,94519375;421,96694364;179,97825011;12,50969900;29,32381056;-16,81411156;163,16413855;40,75740641;122,40673214;n.a.;n.a.;n.a.;122,40673214;n.a.;n.a.;134,24386667;0,26902578;n.a.;n.a.;122,67575792;n.a.;180,24727589
